Code,Info,Hospital Outpatient Price
10005,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion (10005)",$148
10007,"Fine needle aspiration biopsy, including fluoroscopic guidance; first lesion (10007)",$151
10009,"Fine needle aspiration biopsy, including ct guidance; first lesion (10009)",$154
10021,"Fine needle aspiration biopsy, without imaging guidance; first lesion (10021)",
10030,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst), soft tissue (eg, extremity, abdominal wall, neck), percutaneous (10030)",$159
10060,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single (10060)",$59
10061,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple (10061)",$111
10080,Incision and drainage of pilonidal cyst; simple (10080),$154
10081,Incision and drainage of pilonidal cyst; complicated (10081),$167
10120,"Incision and removal of foreign body, subcutaneous tissues; simple (10120)",$95
10121,"Incision and removal of foreign body, subcutaneous tissues; complicated (10121)",$344
10140,"Incision and drainage of hematoma, seroma or fluid collection (10140)",
10160,"Puncture aspiration of abscess, hematoma, bulla, or cyst (10160)",$94
10180,"Incision and drainage, complex, postoperative wound infection (10180)",$576
11000,Debridement of extensive eczematous or infected skin; up to 10% of body surface (11000),
11010,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin and subcutaneous tissues (11010)",$188
11011,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, and muscle (11011)",$192
11012,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, muscle, and bone (11012)",$622
11042,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less (11042)",$86
11043,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less (11043)",$148
11044,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less (11044)",$352
11102,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion (11102)",$45
11104,"Punch biopsy of skin (including simple closure, when performed); single lesion (11104)",
11106,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); single lesion (11106)",
11307,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm (11307)",$50
11308,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm (11307)",$null
11310,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less (11310)",$46
11311,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm (11311)",$50
11312,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm (11312)",$89
11313,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 2.0 cm (11313)",$93
11400,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less (11400)",
11401,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm (11401)",$95
11402,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm (11402)",
11403,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm (11403)",
11404,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm (11404)",$340
11406,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm (11406)",$357
11420,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less (11420)",
11421,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm (11421)",
11422,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm (11422)",
11423,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm (11422)",
11424,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm (11424)",$null
11426,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm (11426)",$593
11440,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less (11440)",
11441,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm (11441)",
11442,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm (11442)",
11443,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 2.1 to 3.0 cm (11443)",
11444,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 3.1 to 4.0 cm (11444)",$352
11446,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter over 4.0 cm (11446)",$603
11450,"Excision of skin and subcutaneous tissue for hidradenitis, axillary; with simple or intermediate repair (11450)",$592
11451,"Excision of skin and subcutaneous tissue for hidradenitis, axillary; with complex repair (11451)",$606
11462,"Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with simple or intermediate repair (11462)",$590
11463,"Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with complex repair (11463)",$606
